dataset	stage2_s	part3_s	profiled_pairs	exact_qlen_pct	exact_tlen_pct	exact_forward_dimensions_pct	exact_reverse_dimensions_pct	exact_both_pass_dimensions_pct	qlen_le_1.10_pct	tlen_le_1.10_pct	forward_work_le_1.10_pct	reverse_work_le_1.10_pct	total_work_le_1.10_pct	forward_lazy_pct	reverse_lazy_pct	paired_forward_speedup	paired_reverse_speedup	projected_all_dp_speedup	dp_cycle_share_pct	projected_stage2_upper
ERR1203383_PE	3.865	3.479	89443	100.00	99.91	99.91	45.28	45.27	100.00	99.93	78.14	40.17	67.20	27.75	71.96	1.938	1.754	1.169	11.88	1.017
SRR7963242_PE	46.686	45.718	2699775	100.00	99.52	99.52	66.71	66.66	100.00	99.62	69.68	61.14	69.57	37.71	74.77	1.907	1.806	1.391	31.12	1.096
