log	dataset	read_mode	repeat	ranks	calls	bytes	hash_sum	hash_xor	hash_enabled	claimed_chunks_range	stage1_range	stage2_range	stage2_max_min	part3_range	part3_max_min	scheduler_rma_range	fread_bandwidth_range	slowest_chunk	slowest_chunk_seconds	parsed_chunks	claimed_chunks	chunk_details_complete	rank_details_complete
ERR1203383_PE.run01.log	ERR1203383	PE	1	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	40-47	36.989-39.411	64.751-68.403	1.056	62.081-65.959	1.062	0.895981-1.335508	35.196-40.827	255	5.005719	268	271	0	0
ERR1203383_SE.run01.log	ERR1203383	SE	1	6	15274680	3590277649	c4f605909a9eaa84	dd9be621d24957ae	1	41-48	19.078-20.125	25.722-26.755	1.040	23.570-24.537	1.041	0.971336-1.259206	33.214-43.032	5	1.319505	270	271	0	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	41-52	28.213-33.921	63.246-70.547	1.115	60.331-67.970	1.127	0.984358-1.181574	39.002-48.268	100	9.438087	269	274	0	0
SRR2496709_SE.run01.log	SRR2496709	SE	1	6	12607411	3685790019	db44bb6c112040ba	337219a8b7ce62fa	1	43-47	15.080-17.283	25.650-27.411	1.069	23.421-25.051	1.070	1.005531-1.114806	40.904-48.814	100	2.257153	268	274	0	0
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	6	20000000	8434324786	e31564c82ea77aa3	39ae379a71398f41	1	46-52	28.704-34.643	227.504-232.978	1.024	224.932-230.339	1.024	0.902225-1.318340	43.150-52.745	0	10.317269	289	290	0	0
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	6	10000000	3920595145	9c841b9019c7d950	903fd6c660f2da8e	1	47-50	11.583-13.361	53.483-54.293	1.015	51.127-51.889	1.015	1.116447-1.244836	57.928-67.072	0	3.042273	286	290	0	0
