variant	label	runs	stage2_median_s	stage2_delta_pct	part3_median_s	part3_delta_pct	part3_spread_pct	worker_gcycles	chain_build_gcycles	chain_sa_gcycles	chain_rid_gcycles	chain_tree_gcycles	chain_insert_gcycles	chain_finalize_gcycles
chain_arena	+ chain arena in LDM	2	3.841500	+0.000	3.480000	+0.000	0.000	7.233000	1.461500	0.956500	0.105000	0.015000	0.120500	0.203000
sa_chain_arena	+ SA batch + chain arena	2	3.835000	-0.169	3.515000	+1.006	0.284	7.309500	1.573000	1.034000	0.097500	0.015000	0.141000	0.176000
