variant	run	stage2	part3	worker	chain_build	chain_sa	chain_rid	chain_tree	chain_insert	chain_finalize
chain_arena	ERR1203383_PE.run1	3.845000	3.480000	7.247000	1.469000	0.961000	0.105000	0.015000	0.121000	0.205000
chain_arena	ERR1203383_PE.run2	3.838000	3.480000	7.219000	1.454000	0.952000	0.105000	0.015000	0.120000	0.201000
sa_chain_arena	ERR1203383_PE.run1	3.829000	3.510000	7.302000	1.576000	1.037000	0.098000	0.015000	0.141000	0.176000
sa_chain_arena	ERR1203383_PE.run2	3.841000	3.520000	7.317000	1.570000	1.031000	0.097000	0.015000	0.141000	0.176000
