log	dataset	read_mode	repeat	ranks	calls	bytes	hash_sum	hash_xor	hash_enabled	claimed_chunks_range	stage1_range	stage2_range	stage2_max_min	part3_range	part3_max_min	scheduler_rma_range	fread_bandwidth_range	slowest_chunk	slowest_chunk_seconds	parsed_chunks	claimed_chunks	chunk_details_complete	rank_details_complete
ERR1203383_PE.run01.log	ERR1203383	PE	1	6	30549360	8029871401	0000000000000000	0000000000000000	0	40-47	27.735-30.221	64.643-68.147	1.054	62.008-65.703	1.060	0.847613-1.226167	45.131-50.311	255	4.995228	269	271	0	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	6	25214822	8119600200	0000000000000000	0000000000000000	0	43-51	28.819-34.807	62.400-69.932	1.121	59.499-67.419	1.133	0.902282-1.141329	36.834-44.991	100	9.462080	272	274	0	0
