dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	1	29	174	0	3214541020	3219456172	4915152	21186	0.374048
ERR1203383	PE	1	1	30	181	1	3248947316	3253862468	4915152	21186	0.495481
ERR1203383	PE	1	1	31	188	2	3283353612	3288268996	4915384	21187	0.438107
ERR1203383	PE	1	1	32	195	3	3317760140	3322675292	4915152	21186	0.492594
ERR1203383	PE	1	1	33	202	4	3352166436	3357081820	4915384	21187	0.626395
ERR1203383	PE	1	1	34	209	5	3386572964	3391488116	4915152	21186	3.237149
ERR1203383	PE	1	1	35	234	0	3454156884	3455385788	1228904	5297	0.245232
ERR1203383	PE	1	1	36	241	1	3462758516	3463987420	1228904	5297	0.258161
ERR1203383	PE	1	1	37	248	2	3471360148	3472588820	1228672	5296	0.342833
ERR1203383	PE	1	1	38	255	3	3479961780	3481190452	1228672	5296	4.995228
ERR1203383	PE	1	1	39	268	4	3495936140	3497164812	1228672	5296	3.560579
ERR1203383	PE	1	2	0	2	2	39321628	58982556	19660928	87772	2.362027
ERR1203383	PE	1	2	1	9	3	176947228	196608156	19660928	87772	2.132636
ERR1203383	PE	1	2	2	16	4	314572956	334233624	19660668	86231	1.874426
ERR1203383	PE	1	2	3	23	5	452198544	471859212	19660668	86231	2.226841
ERR1203383	PE	1	2	4	24	0	471859212	491520108	19660896	86232	1.853964
ERR1203383	PE	1	2	5	31	1	609484800	629145696	19660896	86232	1.660643
ERR1203383	PE	1	2	6	38	2	747110616	766771284	19660668	86231	2.01663
ERR1203383	PE	1	2	7	45	3	884736204	904396872	19660668	86231	2.168041
ERR1203383	PE	1	2	8	52	4	1022361792	1042022460	19660668	86231	1.687333
ERR1203383	PE	1	2	9	59	5	1159987380	1179648048	19660668	86231	2.29279
ERR1203383	PE	1	2	10	60	0	1179648048	1199308944	19660896	86232	2.18066
ERR1203383	PE	1	2	11	67	1	1317273636	1336934532	19660896	86232	2.344868
ERR1203383	PE	1	2	12	74	2	1454899224	1474560120	19660896	86232	1.87826
ERR1203383	PE	1	2	13	81	3	1592524812	1612185708	19660896	86232	2.292853
ERR1203383	PE	1	2	14	88	4	1730150400	1749811296	19660896	86232	2.135547
