backend	run	stage2_seconds	cpe_part3_seconds	sam_records	sam_bytes	md5
scalar_8	1	13.280	12.650	2514042	979861986	5e9580e6df968a4c82ad3875fe2a1bda
int32_8	1	12.850	12.070	2514042	979861986	5e9580e6df968a4c82ad3875fe2a1bda
int32_8	2	12.835	12.077	2514042	979861986	5e9580e6df968a4c82ad3875fe2a1bda
