log	dataset	read_mode	repeat	ranks	calls	bytes	hash_sum	hash_xor	hash_enabled	claimed_chunks_range	stage1_range	stage2_range	stage2_max_min	part3_range	part3_max_min	scheduler_rma_range	fread_bandwidth_range	slowest_chunk	slowest_chunk_seconds	parsed_chunks	claimed_chunks	chunk_details_complete	rank_details_complete
ERR1203383_PE.run01.log	ERR1203383	PE	1	12	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	20-29	19.606-24.163	32.280-37.013	1.147	30.527-35.511	1.163	0.516246-0.988595	29.194-37.545	291	5.016644	303	307	0	0
ERR1203383_SE.run01.log	ERR1203383	SE	1	12	15274680	3590277649	c4f605909a9eaa84	dd9be621d24957ae	1	22-30	8.986-10.420	12.485-14.101	1.129	11.072-12.626	1.140	0.595362-1.109092	31.828-43.834	6	1.362477	302	307	0	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	12	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	21-32	13.421-20.018	30.581-37.374	1.222	28.851-35.774	1.240	0.560795-1.247459	32.696-51.585	100	9.506673	302	310	0	0
SRR2496709_SE.run01.log	SRR2496709	SE	1	12	12607411	3685790019	db44bb6c112040ba	337219a8b7ce62fa	1	22-28	7.543-10.829	12.438-15.334	1.233	11.005-13.841	1.258	0.441462-0.862835	28.588-53.944	100	2.234643	303	310	0	0
small_SRR7963242_PE.run01.log	small_SRR7963242	PE	1	12	20000000	8434324786	e31564c82ea77aa3	39ae379a71398f41	1	23-31	15.246-19.248	113.816-118.240	1.039	112.077-116.465	1.039	0.786240-1.312406	37.897-51.712	0	10.218810	321	326	0	0
small_SRR7963242_SE.run01.log	small_SRR7963242	SE	1	12	10000000	3920595145	9c841b9019c7d950	903fd6c660f2da8e	1	23-31	6.207-8.781	26.013-28.607	1.100	24.652-26.996	1.095	0.702731-1.585782	43.500-82.313	0	2.967740	322	326	0	0
