log	dataset	read_mode	repeat	ranks	calls	bytes	hash_sum	hash_xor	hash_enabled	claimed_chunks_range	stage1_range	stage2_range	stage2_max_min	part3_range	part3_max_min	scheduler_rma_range	fread_bandwidth_range	slowest_chunk	slowest_chunk_seconds	parsed_chunks	claimed_chunks	chunk_details_complete	rank_details_complete
ERR1203383_PE.run01.log	ERR1203383	PE	1	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	40-45	25.909-26.925	65.139-68.276	1.048	62.344-65.196	1.046	0.934275-1.070516	47.565-56.144	237	5.045165	251	253	0	0
ERR1203383_PE.run02.log	ERR1203383	PE	2	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	39-45	29.196-31.583	63.941-69.589	1.088	61.185-66.803	1.092	0.965755-1.176216	42.151-46.082	237	5.041897	250	253	0	0
ERR1203383_PE.run03.log	ERR1203383	PE	3	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	39-45	27.407-29.489	63.570-65.487	1.030	60.985-62.964	1.032	0.873701-1.185814	45.609-50.547	237	4.988705	248	253	0	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	39-50	27.035-31.626	60.910-66.759	1.096	58.244-64.375	1.105	0.884335-1.067270	40.805-48.022	100	9.396935	251	256	0	0
SRR2496709_PE.run02.log	SRR2496709	PE	2	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	40-49	28.886-31.248	60.991-64.836	1.063	57.823-62.313	1.078	0.845225-1.100481	41.393-46.688	100	9.392007	255	256	0	0
SRR2496709_PE.run03.log	SRR2496709	PE	3	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	36-47	27.535-31.181	60.697-65.975	1.087	57.921-63.578	1.098	0.926701-1.115902	43.171-49.453	100	9.405283	252	256	0	0
