dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	2	37	236	2	3478732876	3479961780	1228904	5297	0.991393
ERR1203383	PE	1	2	38	243	3	3487334508	3488563412	1228904	5297	2.614101
ERR1203383	PE	1	2	39	244	4	3488563412	3489792084	1228672	5296	3.824031
ERR1203383	PE	1	2	0	2	2	39321628	58982556	19660928	87772	2.665246
ERR1203383	PE	1	2	1	9	3	176947228	196608156	19660928	87772	2.149678
ERR1203383	PE	1	2	2	16	4	314572956	334233624	19660668	86231	1.879109
ERR1203383	PE	1	2	3	23	5	452198544	471859212	19660668	86231	2.235916
ERR1203383	PE	1	2	4	24	0	471859212	491520108	19660896	86232	1.850827
ERR1203383	PE	1	2	5	31	1	609484800	629145696	19660896	86232	1.668103
ERR1203383	PE	1	2	6	38	2	747110616	766771284	19660668	86231	2.004848
ERR1203383	PE	1	2	7	45	3	884736204	904396872	19660668	86231	2.166036
ERR1203383	PE	1	2	8	52	4	1022361792	1042022460	19660668	86231	1.697506
ERR1203383	PE	1	2	9	59	5	1159987380	1179648048	19660668	86231	2.313559
ERR1203383	PE	1	2	10	60	0	1179648048	1199308944	19660896	86232	2.181073
ERR1203383	PE	1	2	11	67	1	1317273636	1336934532	19660896	86232	2.3314
ERR1203383	PE	1	2	12	74	2	1454899224	1474560120	19660896	86232	1.874275
ERR1203383	PE	1	2	13	81	3	1592524812	1612185708	19660896	86232	2.300328
ERR1203383	PE	1	2	14	88	4	1730150400	1749811296	19660896	86232	2.123416
ERR1203383	PE	1	2	15	95	5	1867776216	1887436884	19660668	86231	1.967395
ERR1203383	PE	1	2	16	96	0	1887436884	1907097780	19660896	86232	1.877578
ERR1203383	PE	1	2	17	103	1	2025062472	2044723368	19660896	86232	1.771375
ERR1203383	PE	1	2	18	110	2	2162688060	2182348956	19660896	86232	1.752309
ERR1203383	PE	1	2	19	117	3	2300313700	2319974540	19660840	84745	1.856112
ERR1203383	PE	1	2	20	124	4	2437939348	2457600188	19660840	84745	1.547558
ERR1203383	PE	1	2	21	131	5	2575564996	2595225604	19660608	84744	1.824741
ERR1203383	PE	1	2	22	132	0	2595225604	2614886444	19660840	84745	1.957304
ERR1203383	PE	1	2	23	139	1	2732851252	2752512092	19660840	84745	1.947684
ERR1203383	PE	1	2	24	146	2	2870476900	2890137740	19660840	84745	2.047562
ERR1203383	PE	1	2	25	153	3	3008102548	3027763388	19660840	84745	2.240974
ERR1203383	PE	1	2	26	160	4	3145728196	3150643348	4915152	21186	0.609624
ERR1203383	PE	1	2	27	167	5	3180134492	3185049644	4915152	21186	0.562071
ERR1203383	PE	1	2	28	168	0	3185049644	3189965028	4915384	21187	0.535139
ERR1203383	PE	1	2	29	175	1	3219456172	3224371324	4915152	21186	0.703526
ERR1203383	PE	1	2	30	182	2	3253862468	3258777620	4915152	21186	0.495983
ERR1203383	PE	1	2	31	189	3	3288268996	3293184148	4915152	21186	0.511625
ERR1203383	PE	1	2	32	196	4	3322675292	3327590444	4915152	21186	0.627682
ERR1203383	PE	1	2	33	203	5	3357081820	3361996972	4915152	21186	0.727143
ERR1203383	PE	1	2	34	204	0	3361996972	3366912124	4915152	21186	0.65855
ERR1203383	PE	1	2	35	211	1	3396403268	3401318420	4915152	21186	0.517573
ERR1203383	PE	1	2	36	218	2	3430809796	3435724948	4915152	21186	0.653262
ERR1203383	PE	1	2	37	225	3	3465216092	3466444996	1228904	5297	0.167468
ERR1203383	PE	1	2	38	232	4	3473817724	3475046628	1228904	5297	0.251799
ERR1203383	PE	1	2	39	239	5	3482419356	3483648028	1228672	5296	0.527896
ERR1203383	PE	1	2	40	240	0	3483648028	3484876932	1228904	5297	1.270479
ERR1203383	PE	1	2	41	247	1	3492249660	3493478564	1228904	5297	3.334694
ERR1203383	PE	1	2	42	249	3	3494707236	3495936140	1228904	5297	3.889939
ERR1203383	PE	1	3	0	3	3	58982556	78643260	19660704	87771	2.24558
ERR1203383	PE	1	3	1	10	4	196608156	216268860	19660704	87771	1.725379
ERR1203383	PE	1	3	2	17	5	334233624	353894520	19660896	86232	1.761059
ERR1203383	PE	1	3	3	18	0	353894520	373555416	19660896	86232	1.921171
ERR1203383	PE	1	3	4	25	1	491520108	511181004	19660896	86232	1.696949
ERR1203383	PE	1	3	5	32	2	629145696	648806592	19660896	86232	1.540625
ERR1203383	PE	1	3	6	39	3	766771284	786432180	19660896	86232	1.812542
ERR1203383	PE	1	3	7	46	4	904396872	924057768	19660896	86232	2.279658
ERR1203383	PE	1	3	8	53	5	1042022460	1061683356	19660896	86232	1.996828
ERR1203383	PE	1	3	9	54	0	1061683356	1081344024	19660668	86231	1.776849
ERR1203383	PE	1	3	10	61	1	1199308944	1218969612	19660668	86231	2.088816
ERR1203383	PE	1	3	11	68	2	1336934532	1356595200	19660668	86231	1.874107
ERR1203383	PE	1	3	12	75	3	1474560120	1494221016	19660896	86232	3.42773
ERR1203383	PE	1	3	13	82	4	1612185708	1631846604	19660896	86232	1.938671
ERR1203383	PE	1	3	14	89	5	1749811296	1769472192	19660896	86232	1.784184
ERR1203383	PE	1	3	15	90	0	1769472192	1789132860	19660668	86231	1.856376
ERR1203383	PE	1	3	16	97	1	1907097780	1926758448	19660668	86231	1.725733
ERR1203383	PE	1	3	17	104	2	2044723368	2064384036	19660668	86231	1.781963
ERR1203383	PE	1	3	18	111	3	2182348956	2202009624	19660668	86231	1.82767
ERR1203383	PE	1	3	19	118	4	2319974540	2339635380	19660840	84745	2.139204
ERR1203383	PE	1	3	20	125	5	2457600188	2477261028	19660840	84745	1.916042
ERR1203383	PE	1	3	21	126	0	2477261028	2496921636	19660608	84744	1.752537
ERR1203383	PE	1	3	22	133	1	2614886444	2634547284	19660840	84745	1.790831
ERR1203383	PE	1	3	23	140	2	2752512092	2772172932	19660840	84745	1.759948
ERR1203383	PE	1	3	24	147	3	2890137740	2909798580	19660840	84745	2.058109
ERR1203383	PE	1	3	25	154	4	3027763388	3047424228	19660840	84745	1.747042
ERR1203383	PE	1	3	26	161	5	3150643348	3155558500	4915152	21186	0.556425
ERR1203383	PE	1	3	27	162	0	3155558500	3160473652	4915152	21186	0.538798
ERR1203383	PE	1	3	28	169	1	3189965028	3194880180	4915152	21186	0.426723
ERR1203383	PE	1	3	29	176	2	3224371324	3229286476	4915152	21186	0.751915
ERR1203383	PE	1	3	30	183	3	3258777620	3263693004	4915384	21187	0.541703
ERR1203383	PE	1	3	31	190	4	3293184148	3298099300	4915152	21186	0.528161
ERR1203383	PE	1	3	32	197	5	3327590444	3332505828	4915384	21187	0.406563
ERR1203383	PE	1	3	33	198	0	3332505828	3337420980	4915152	21186	0.679782
ERR1203383	PE	1	3	34	205	1	3366912124	3371827276	4915152	21186	0.533433
ERR1203383	PE	1	3	35	212	2	3401318420	3406233804	4915384	21187	0.794462
ERR1203383	PE	1	3	36	219	3	3435724948	3440640100	4915152	21186	0.709563
ERR1203383	PE	1	3	37	226	4	3466444996	3467673668	1228672	5296	0.132356
ERR1203383	PE	1	3	38	233	5	3475046628	3476275300	1228672	5296	0.880978
ERR1203383	PE	1	3	39	222	0	3450470404	3455385788	4915384	21187	0.626468
ERR1203383	PE	1	3	40	235	1	3477504204	3478732876	1228672	5296	0.292246
ERR1203383	PE	1	3	41	242	2	3486105604	3487334508	1228904	5297	4.780488
ERR1203383	PE	1	3	42	251	5	3497164812	3498393716	1228904	5297	2.031655
ERR1203383	PE	1	4	0	4	4	78643260	98304188	19660928	87772	2.388448
ERR1203383	PE	1	4	1	11	5	216268860	235929600	19660740	86802	1.785905
ERR1203383	PE	1	4	2	12	0	235929600	255590496	19660896	86232	1.885862
ERR1203383	PE	1	4	3	19	1	373555416	393216084	19660668	86231	2.017718
ERR1203383	PE	1	4	4	26	2	511181004	530841672	19660668	86231	2.022927
ERR1203383	PE	1	4	5	33	3	648806592	668467260	19660668	86231	1.762518
ERR1203383	PE	1	4	6	40	4	786432180	806092848	19660668	86231	1.993183
ERR1203383	PE	1	4	7	47	5	924057768	943718436	19660668	86231	2.184849
ERR1203383	PE	1	4	8	48	0	943718436	963379332	19660896	86232	2.155154
