dataset	read_mode	status	expected	actual	checked_file
SRR7963242	PE	PASS	a799dc7268f389120ec92820e04b5118	a799dc7268f389120ec92820e04b5118	./retest_matrix_0810/cgs_cross_pool/has1/SRR7963242_PE.sam
SRR7963242	SE	PASS	0acfb1f46abd9fed3862c28a33e26da4	0acfb1f46abd9fed3862c28a33e26da4	./retest_matrix_0810/cgs_cross_pool/has1/SRR7963242_SE.sam
SRR2496709	PE	PASS	20f980ce3955d09e7c133ba26ddf2b77	20f980ce3955d09e7c133ba26ddf2b77	./retest_matrix_0810/cgs_cross_pool/has1/SRR2496709_PE.sam
SRR2496709	SE	PASS	2ca59c689707cc0aa6e0ce1fe30ae145	2ca59c689707cc0aa6e0ce1fe30ae145	./retest_matrix_0810/cgs_cross_pool/has1/SRR2496709_SE.sam
ERR1203383	PE	PASS	c2af4bf0b057d5125ce2a9d770f13741	c2af4bf0b057d5125ce2a9d770f13741	./retest_matrix_0810/cgs_cross_pool/has1/ERR1203383_PE.sam
ERR1203383	SE	PASS	473eec3972fbd651d8b911b9fb5c6e25	473eec3972fbd651d8b911b9fb5c6e25	./retest_matrix_0810/cgs_cross_pool/has1/ERR1203383_SE.sam
