dataset	read_mode	repeat	rank	order	chunk_id	queue	start	end	bytes	records	stage2_seconds
ERR1203383	PE	1	1	30	193	1	3307929604	3312844988	4915384	21187	0.438466
ERR1203383	PE	1	1	31	200	2	3342336132	3347251284	4915152	21186	0.574071
ERR1203383	PE	1	1	32	207	3	3376742428	3381657812	4915384	21187	0.612618
ERR1203383	PE	1	1	33	214	4	3411148956	3416064108	4915152	21186	0.564665
ERR1203383	PE	1	1	34	221	5	3438182524	3439411428	1228904	5297	0.181921
ERR1203383	PE	1	1	35	216	0	3420979260	3425894412	4915152	21186	0.539329
ERR1203383	PE	1	1	36	223	1	3440640100	3441869004	1228904	5297	0.262443
ERR1203383	PE	1	1	37	224	2	3441869004	3443097676	1228672	5296	0.216801
ERR1203383	PE	1	1	38	225	3	3443097676	3444326580	1228904	5297	0.240597
ERR1203383	PE	1	1	39	232	4	3451699308	3452928212	1228904	5297	0.215598
ERR1203383	PE	1	1	40	239	5	3460300940	3461529612	1228672	5296	0.137813
ERR1203383	PE	1	1	41	234	0	3454156884	3455385788	1228904	5297	0.252525
ERR1203383	PE	1	1	42	241	1	3462758516	3463987420	1228904	5297	0.253518
ERR1203383	PE	1	1	43	248	2	3471360148	3472588820	1228672	5296	0.352837
ERR1203383	PE	1	1	44	255	3	3479961780	3481190452	1228672	5296	4.993461
ERR1203383	PE	1	1	45	268	4	3495936140	3497164812	1228672	5296	3.560873
ERR1203383	PE	1	2	0	2	2	39321628	58982556	19660928	87772	2.320809
ERR1203383	PE	1	2	1	9	3	176947228	196608156	19660928	87772	2.076124
ERR1203383	PE	1	2	2	16	4	314572956	334233624	19660668	86231	1.841453
ERR1203383	PE	1	2	3	23	5	452198544	471859212	19660668	86231	2.178488
ERR1203383	PE	1	2	4	24	0	471859212	491520108	19660896	86232	1.79117
ERR1203383	PE	1	2	5	31	1	609484800	629145696	19660896	86232	1.576186
ERR1203383	PE	1	2	6	38	2	747110616	766771284	19660668	86231	1.954761
