# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	50000
# calls	4273042
# total_dp_cells	12152281410
# total_rows	290816091
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	344054	344362	492106	1005985	1224632	811756	50147	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	375194	286014	447304	1030254	2116297	17887	90	2	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	4273042	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	308230	123889	530514	589652	458297	481571	604746	728430	447713	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
0	83	161	100	83	161	7846	105
1	29	153	100	29	59	1276	123
2	87	169	100	87	169	8996	114
3	80	155	100	80	30	577	27
4	117	229	100	100	13	190	19
5	29	153	100	29	59	1276	137
6	80	155	100	80	39	903	28
7	30	60	100	30	52	1324	62
8	10	15	100	10	15	140	24
9	66	127	100	66	15	209	20
10	108	211	100	100	11	196	20
11	36	78	100	36	49	1446	39
12	106	207	100	100	40	1364	29
13	15	25	100	15	25	330	33
14	97	189	100	97	14	236	19
15	83	200	100	83	167	8140	112
16	97	189	100	97	26	742	26
17	96	187	100	96	26	350	21
18	121	237	100	100	50	1430	27
19	93	193	100	93	187	10872	102
20	129	253	100	100	18	309	22
21	9	95	100	9	19	126	66
22	17	31	100	17	28	398	35
23	54	103	100	54	15	228	21
24	122	239	100	100	81	2003	28
25	55	105	100	55	47	1111	27
26	122	239	100	100	32	781	28
27	55	105	100	55	34	677	27
28	68	131	100	68	27	583	27
29	106	207	100	100	35	1043	43
30	120	235	100	100	26	505	25
31	111	217	100	100	18	343	23
32	7	9	100	7	9	62	23
33	7	9	100	7	9	62	23
34	7	9	100	7	9	62	23
35	113	221	100	100	16	228	21
36	6	7	100	6	7	42	36
37	41	77	100	41	28	558	35
38	131	257	100	100	15	292	19
39	47	148	100	47	67	1970	37
40	48	91	100	48	91	3465	141
41	111	217	100	100	110	2968	38
42	40	75	100	40	27	466	33
43	29	117	100	29	59	1276	143
44	37	69	100	37	29	503	33
45	93	181	100	93	126	5788	55
46	76	147	100	76	95	5953	69
47	52	99	100	52	99	2813	64
48	1	118	100	1	3	2	53
49	93	181	100	93	16	242	22
50	1	2	100	1	2	2	71
