# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	11102
# calls	710528
# total_dp_cells	578638455
# total_rows	23510511
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	60559	57733	135286	297264	159686	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52439	40800	129328	333410	154315	185	47	4	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	710528	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	49874	54477	208019	81505	153408	72146	78621	12478	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
167	23	41	100	23	41	790	66
168	57	109	100	57	109	4596	95
169	40	96	100	40	81	2420	80
170	20	86	100	20	40	609	33
171	8	73	100	8	17	100	95
172	53	101	100	53	101	4104	94
173	9	13	100	9	13	111	94
174	26	101	100	26	53	1027	89
175	10	56	100	10	21	155	95
176	24	83	100	24	49	876	90
177	39	73	100	39	73	2286	95
178	18	83	100	18	37	495	95
179	12	19	100	12	19	207	88
180	22	39	100	22	39	722	85
181	8	11	100	8	11	85	57
182	45	85	100	45	85	3045	95
183	59	113	100	59	113	4629	93
184	22	86	100	22	45	737	95
185	6	67	100	6	13	57	94
186	49	93	100	49	93	3562	85
187	36	67	100	36	67	1878	62
188	40	75	100	40	75	2402	80
189	14	23	100	14	23	286	90
190	29	104	100	29	59	1276	95
191	26	47	100	26	47	1012	95
192	4	5	100	4	5	20	80
193	12	19	100	12	19	207	95
194	6	81	100	6	13	57	94
195	19	33	100	19	33	536	90
196	21	78	100	21	43	672	75
197	52	99	100	52	99	3996	95
198	23	41	100	23	41	790	63
199	10	85	100	10	21	155	95
200	9	84	100	9	19	126	95
201	19	33	100	19	33	536	90
202	6	67	100	6	13	57	94
203	7	9	100	7	9	62	88
204	46	87	100	46	87	3181	95
205	7	9	100	7	9	62	93
206	52	99	100	52	99	3953	68
207	31	97	100	31	63	1457	80
208	50	95	100	50	95	3424	64
209	59	134	100	59	119	4830	95
210	61	117	100	61	117	5021	95
211	11	17	100	11	17	172	95
212	19	33	100	19	33	536	75
213	61	117	100	61	106	4656	71
214	51	97	100	51	97	3774	79
215	11	17	100	11	17	172	95
216	32	107	100	32	65	1552	95
217	56	107	100	56	107	4482	95
218	43	81	100	43	81	2780	96
219	43	81	100	43	81	2780	95
220	26	47	100	26	47	1012	95
221	56	107	100	56	107	4371	95
222	38	92	100	38	77	2185	75
223	35	110	100	35	57	1630	65
224	36	95	100	36	73	1962	90
225	37	69	100	37	69	2057	67
226	28	88	100	28	57	1190	95
227	20	87	100	20	41	610	61
