# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	3351
# calls	214440
# total_dp_cells	104366290
# total_rows	5602190
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	23037	26708	106355	58340	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	24356	27328	110338	51203	996	167	45	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	214440	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	19849	24226	73960	29697	31583	32898	2227	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
169	34	63	100	34	11	148	19
170	20	35	100	20	12	105	19
171	26	67	100	26	53	1027	65
172	49	93	100	49	78	2122	35
173	38	71	100	38	71	1428	43
174	15	65	100	15	31	345	70
175	5	6	100	5	6	30	20
176	30	55	100	30	55	1350	55
177	30	55	100	30	55	1350	55
178	40	75	100	40	15	211	20
179	21	37	100	21	13	136	20
180	25	75	100	25	51	950	70
181	10	15	100	10	15	140	54
182	29	53	100	29	10	131	19
183	23	41	100	23	15	150	19
184	20	35	100	20	15	161	20
185	31	81	100	31	63	1457	70
186	43	84	100	43	84	2386	59
187	19	33	100	19	33	536	37
188	27	49	100	27	14	205	20
189	30	55	100	30	55	1350	60
190	20	35	100	20	14	134	20
191	19	33	100	19	14	133	20
192	40	75	100	40	16	153	20
193	44	83	100	44	80	2306	44
194	32	59	100	32	12	131	19
195	1	2	100	1	2	2	42
196	23	41	100	23	15	211	23
197	30	55	100	30	55	1350	60
198	28	51	100	28	51	1175	69
199	21	37	100	21	37	621	35
200	35	65	100	35	50	1359	40
201	13	63	100	13	27	260	70
202	25	45	100	25	11	103	19
203	21	37	100	21	14	142	21
204	43	81	100	43	16	257	21
205	38	71	100	38	71	2077	70
206	36	67	100	36	15	169	20
207	19	33	100	19	33	443	25
208	37	69	100	37	15	268	20
209	15	25	100	15	10	90	19
210	32	59	100	32	11	99	20
211	31	57	100	31	11	126	19
212	29	53	100	29	15	207	19
213	14	53	100	14	29	301	54
214	53	101	100	53	14	199	20
215	24	43	100	24	15	137	20
216	32	59	100	32	13	119	22
217	39	73	100	39	12	118	19
218	9	13	100	9	13	89	19
219	13	21	100	13	21	245	70
220	11	17	100	11	17	172	70
221	21	37	100	21	15	171	20
222	40	191	100	40	79	1788	45
223	33	61	100	33	13	186	19
224	31	57	100	31	13	100	19
225	26	47	100	26	17	179	20
226	31	81	100	31	63	1457	70
227	30	55	100	30	15	177	19
228	2	3	100	2	3	6	50
229	27	49	100	27	14	151	19
230	1	2	100	1	2	2	43
231	31	57	100	31	12	131	19
232	27	77	100	27	55	1107	60
233	40	75	100	40	14	126	20
234	53	101	100	53	12	207	19
235	35	65	100	35	20	257	21
236	22	39	100	22	11	110	20
237	36	67	100	36	15	214	21
238	26	47	100	26	47	1012	70
239	33	61	100	33	17	204	20
240	40	122	100	40	81	1696	50
241	28	51	100	28	18	235	19
242	28	51	100	28	19	279	24
243	20	81	100	20	23	384	22
244	17	29	100	17	18	273	21
245	55	105	100	55	15	255	20
246	46	87	100	46	11	166	19
247	10	15	100	10	12	93	20
248	34	63	100	34	11	127	19
249	19	33	100	19	13	147	19
250	35	65	100	35	13	153	20
251	1	51	100	1	3	2	74
252	34	63	100	34	25	397	24
253	25	45	100	25	13	156	19
254	33	61	100	33	15	218	19
255	19	33	100	19	13	164	20
256	33	61	100	33	13	144	21
257	34	63	100	34	12	129	19
258	19	33	100	19	16	263	21
259	23	41	100	23	41	790	70
260	25	45	100	25	15	176	19
261	8	11	100	8	11	85	55
262	21	37	100	21	37	657	64
263	12	19	100	12	10	59	19
264	30	55	100	30	11	186	20
265	35	129	100	35	71	1766	41
266	16	27	100	16	27	377	70
267	11	17	100	11	17	172	70
268	4	5	100	4	5	20	60
269	14	23	100	14	23	286	70
270	27	49	100	27	12	135	19
271	22	39	100	22	15	137	19
272	23	41	100	23	19	328	22
273	24	74	100	24	49	876	70
274	33	61	100	33	19	257	21
275	33	61	100	33	14	139	19
276	34	63	100	34	10	115	19
277	16	27	100	16	14	114	19
278	54	104	100	54	18	350	21
279	33	61	100	33	61	1569	52
280	7	9	100	7	9	62	61
281	28	51	100	28	10	94	19
282	55	152	100	55	73	2417	45
283	33	61	100	33	12	152	19
284	35	148	100	35	45	1220	33
285	33	61	100	33	11	125	19
286	35	65	100	35	37	1176	40
287	22	39	100	22	13	129	21
288	26	47	100	26	15	150	20
289	33	61	100	33	40	1156	42
290	32	59	100	32	17	236	21
291	28	51	100	28	14	144	19
292	21	37	100	21	13	151	19
293	5	6	100	5	6	30	70
294	49	93	100	49	22	483	26
295	4	54	100	4	9	26	71
296	28	51	100	28	51	847	29
297	34	63	100	34	13	171	19
298	23	41	100	23	18	281	22
299	49	93	100	49	12	145	19
300	21	76	100	21	43	672	54
301	28	51	100	28	14	161	20
302	35	65	100	35	16	189	21
303	36	67	100	36	14	124	19
304	36	67	100	36	14	129	19
305	23	41	100	23	10	105	19
306	24	43	100	24	13	138	19
307	22	39	100	22	12	97	19
308	28	51	100	28	13	140	19
309	36	67	100	36	15	205	21
310	18	31	100	18	10	83	19
311	36	67	100	36	67	1908	70
312	36	67	100	36	15	146	20
313	22	39	100	22	18	187	19
314	35	65	100	35	12	134	19
315	22	72	100	22	45	737	70
316	54	103	100	54	59	1934	40
317	44	83	100	44	11	149	19
318	16	27	100	16	20	263	19
319	33	61	100	33	16	128	19
320	29	55	100	29	55	1254	43
321	24	43	100	24	11	107	19
322	37	69	100	37	13	207	20
323	7	9	100	7	9	62	22
324	18	32	100	18	29	456	34
325	40	75	100	40	52	1553	35
326	37	70	100	37	70	1972	50
327	20	35	100	20	14	188	19
328	30	55	100	30	13	175	19
329	40	75	100	40	51	1675	39
330	25	45	100	25	40	701	31
331	30	55	100	30	17	264	21
332	10	15	100	10	13	121	21
333	23	41	100	23	17	218	23
334	40	75	100	40	44	1515	39
335	5	6	100	5	6	30	20
336	15	55	100	15	31	345	70
337	12	62	100	12	25	222	65
338	23	41	100	23	12	145	19
339	36	67	100	36	15	163	20
340	51	97	100	51	14	133	20
341	23	41	100	23	10	116	19
342	7	9	100	7	9	62	63
343	32	59	100	32	14	225	20
344	55	105	100	55	15	188	20
345	29	53	100	29	15	162	20
346	55	105	100	55	16	230	20
347	34	63	100	34	21	238	21
348	15	25	100	15	19	180	20
349	37	69	100	37	11	116	20
350	11	85	100	11	23	187	65
351	19	33	100	19	11	83	20
352	37	69	100	37	16	153	21
353	35	248	100	35	71	1830	62
354	27	49	100	27	49	1092	56
355	30	55	100	30	55	1255	46
356	26	47	100	26	47	1012	65
357	27	49	100	27	49	1075	49
358	19	33	100	19	33	536	70
359	21	71	100	21	43	672	65
360	21	37	100	21	18	311	22
361	20	35	100	20	35	595	51
362	32	59	100	32	15	188	20
363	20	35	100	20	35	593	32
364	20	35	100	20	35	595	38
365	24	43	100	24	19	256	21
366	4	5	100	4	5	20	43
367	20	35	100	20	11	100	19
368	33	61	100	33	38	828	42
369	19	33	100	19	33	536	58
370	7	9	100	7	9	62	64
371	37	69	100	37	11	134	19
372	36	67	100	36	51	1603	45
373	33	61	100	33	13	153	20
374	33	61	100	33	14	141	19
375	1	2	100	1	2	2	40
376	30	55	100	30	14	223	20
377	32	59	100	32	17	189	20
378	31	57	100	31	20	318	28
379	37	69	100	37	13	150	19
380	15	25	100	15	13	126	20
381	20	70	100	20	41	610	69
382	37	69	100	37	13	188	20
383	24	43	100	24	15	147	20
384	37	116	100	37	75	2055	57
385	30	55	100	30	13	209	20
386	35	65	100	35	14	232	22
387	1	2	100	1	2	2	74
388	21	43	100	21	41	661	54
389	27	49	100	27	47	1071	48
390	29	53	100	29	19	264	20
391	31	57	100	31	10	121	19
392	12	19	100	12	19	207	70
393	30	55	100	30	15	158	20
394	31	57	100	31	11	174	19
395	28	51	100	28	11	130	19
396	30	55	100	30	15	185	20
397	40	190	100	40	66	1464	34
398	37	69	100	37	16	190	19
399	29	53	100	29	15	198	21
400	27	49	100	27	10	91	19
401	26	47	100	26	17	200	20
402	46	87	100	46	14	202	20
403	20	39	100	20	39	609	55
404	19	33	100	19	15	213	21
405	23	41	100	23	14	151	21
406	33	61	100	33	12	119	19
407	30	55	100	30	15	190	19
408	31	57	100	31	57	1442	70
409	27	101	100	27	55	1107	75
410	36	67	100	36	13	154	19
411	55	105	100	55	17	248	20
412	27	49	100	27	14	155	20
413	16	27	100	16	16	195	22
414	30	55	100	30	19	177	19
415	15	25	100	15	13	129	21
416	28	51	100	28	11	110	19
417	32	59	100	32	12	124	19
418	16	66	100	16	33	392	70
419	25	45	100	25	13	166	21
420	32	59	100	32	14	188	20
421	28	51	100	28	12	124	21
422	22	39	100	22	14	167	20
423	10	15	100	10	15	140	40
424	20	35	100	20	11	128	19
425	21	37	100	21	37	657	37
426	30	55	100	30	15	154	20
427	55	105	100	55	16	246	20
428	20	35	100	20	13	174	20
429	24	43	100	24	15	136	19
430	18	83	100	18	37	495	57
431	56	107	100	56	13	227	19
432	37	69	100	37	12	129	20
433	31	57	100	31	14	118	19
434	55	105	100	55	16	228	21
435	20	35	100	20	11	118	19
436	36	67	100	36	10	101	19
437	25	45	100	25	14	148	22
438	33	61	100	33	12	141	19
439	35	97	100	35	71	1512	53
440	16	27	100	16	15	209	23
441	20	35	100	20	17	302	22
442	33	61	100	33	16	180	24
443	35	65	100	35	19	268	22
444	34	63	100	34	21	390	24
445	27	49	100	27	15	140	20
446	22	39	100	22	12	118	19
447	36	67	100	36	13	169	19
448	32	59	100	32	32	744	38
449	15	25	100	15	25	330	40
450	40	107	100	40	78	1702	38
451	22	39	100	22	11	165	19
452	25	45	100	25	11	162	19
453	35	65	100	35	14	145	19
454	32	59	100	32	13	147	19
455	13	21	100	13	16	162	19
456	33	61	100	33	11	113	19
457	37	69	100	37	13	173	19
458	33	61	100	33	16	190	19
459	29	53	100	29	14	187	19
460	13	21	100	13	17	164	20
461	33	61	100	33	61	1635	50
462	26	47	100	26	10	116	19
463	24	43	100	24	15	148	20
464	19	33	100	19	12	102	21
465	30	55	100	30	14	152	19
466	32	59	100	32	16	182	19
467	27	49	100	27	22	262	19
468	8	11	100	8	11	85	19
469	36	67	100	36	10	113	19
470	20	35	100	20	17	165	22
471	15	25	100	15	25	330	54
472	34	63	100	34	15	124	19
473	37	69	100	37	21	328	20
474	20	35	100	20	15	115	19
475	27	49	100	27	49	1092	48
476	16	27	100	16	14	130	21
477	23	41	100	23	17	174	20
478	28	51	100	28	20	182	20
479	9	13	100	9	13	111	37
480	35	65	100	35	15	149	20
481	34	63	100	34	10	135	19
482	19	33	100	19	14	150	19
483	24	43	100	24	12	112	19
484	12	19	100	12	19	207	43
485	31	57	100	31	20	232	24
486	19	33	100	19	19	253	20
487	30	55	100	30	12	135	19
488	20	35	100	20	15	216	20
489	29	53	100	29	17	146	20
490	27	49	100	27	24	432	28
491	29	53	100	29	17	146	20
492	40	75	100	40	21	245	19
493	34	63	100	34	18	235	24
494	34	63	100	34	18	196	24
495	24	43	100	24	18	196	21
496	33	61	100	33	40	1146	34
497	29	53	100	29	19	256	21
498	18	31	100	18	18	179	21
499	31	57	100	31	12	115	20
500	19	33	100	19	16	144	21
501	32	59	100	32	56	1077	31
502	1	51	100	1	3	2	74
503	28	51	100	28	17	276	22
504	18	31	100	18	22	343	24
505	55	105	100	55	22	400	21
506	34	63	100	34	15	199	20
507	36	67	100	36	17	213	20
508	27	49	100	27	49	1092	55
509	24	43	100	24	43	861	49
510	55	105	100	55	105	3045	61
511	17	29	100	17	29	427	50
512	32	59	100	32	59	1215	47
513	26	47	100	26	19	247	20
514	4	5	100	4	5	20	19
515	26	47	100	26	47	1012	59
516	28	51	100	28	12	156	19
517	11	19	100	11	19	181	38
518	15	25	100	15	13	158	21
519	55	105	100	55	56	1150	22
520	11	17	100	11	17	172	37
521	28	51	100	28	18	187	21
522	13	21	100	13	21	245	44
523	19	33	100	19	13	161	20
524	21	37	100	21	37	655	31
525	13	21	100	13	21	245	41
526	13	21	100	13	21	245	45
527	12	24	100	12	24	222	34
528	21	37	100	21	21	298	27
529	1	2	100	1	2	2	41
530	1	2	100	1	2	2	56
531	53	101	100	53	25	277	20
532	12	19	100	12	13	125	19
533	32	59	100	32	19	279	20
534	35	65	100	35	20	313	19
535	44	83	100	44	15	205	20
536	31	62	100	31	62	1457	70
537	24	43	100	24	43	861	70
538	34	63	100	34	63	1506	51
539	8	11	100	8	11	85	45
540	34	63	100	34	13	197	19
541	40	75	100	40	59	1114	31
542	34	63	100	34	63	1347	42
543	19	33	100	19	33	375	23
544	16	27	100	16	27	377	32
545	6	56	100	6	13	57	70
546	23	41	100	23	41	638	25
547	30	55	100	30	12	107	19
548	18	31	100	18	31	435	33
549	19	33	100	19	14	154	19
550	10	49	100	10	21	155	70
551	17	29	100	17	29	427	59
552	23	41	100	23	11	104	19
553	32	59	100	32	59	1537	60
554	32	59	100	32	59	1537	65
555	27	49	100	27	49	1092	68
556	32	59	100	32	59	1537	55
557	24	74	100	24	49	876	70
558	20	35	100	20	35	595	60
559	14	23	100	14	23	286	65
560	31	57	100	31	13	167	22
561	25	45	100	25	22	301	27
562	31	57	100	31	37	935	42
563	11	17	100	11	11	117	20
564	28	51	100	28	18	176	19
565	25	45	100	25	15	165	22
566	30	55	100	30	12	121	20
567	22	39	100	22	14	144	19
568	29	53	100	29	18	142	21
569	36	67	100	36	14	196	21
570	27	49	100	27	12	132	19
571	21	37	100	21	37	657	70
572	26	47	100	26	24	446	23
573	21	37	100	21	11	92	20
574	33	61	100	33	10	142	19
575	37	69	100	37	38	811	33
576	15	89	100	15	31	345	41
577	22	39	100	22	12	157	19
578	25	45	100	25	15	163	20
579	15	65	100	15	31	345	49
580	32	59	100	32	15	179	20
581	52	99	100	52	66	1930	33
582	31	57	100	31	23	417	26
583	18	31	100	18	31	480	63
584	40	75	100	40	23	411	28
585	45	85	100	45	85	2154	48
586	8	11	100	8	11	85	40
587	10	15	100	10	15	140	60
588	33	61	100	33	17	209	21
589	11	17	100	11	17	172	43
590	36	67	100	36	15	235	19
591	18	31	100	18	14	158	21
592	35	65	100	35	14	154	20
593	19	33	100	19	10	98	19
594	34	63	100	34	19	214	20
595	8	11	100	8	11	85	70
596	15	25	100	15	25	330	30
597	35	65	100	35	42	1308	39
598	37	69	100	37	13	159	19
599	30	55	100	30	15	180	20
600	29	53	100	29	14	161	19
601	30	80	100	30	61	1353	59
602	29	53	100	29	15	179	20
603	53	101	100	53	17	245	20
604	23	41	100	23	41	790	70
605	3	4	100	3	4	12	20
606	19	33	100	19	13	111	20
607	15	65	100	15	31	345	70
608	33	61	100	33	61	1570	62
609	19	33	100	19	33	536	45
610	17	29	100	17	29	427	40
611	20	35	100	20	35	595	50
612	35	65	100	35	65	1803	48
613	54	103	100	54	14	285	19
614	33	61	100	33	61	1635	70
615	56	107	100	56	45	763	20
616	29	53	100	29	53	1217	42
617	19	33	100	19	33	536	70
618	56	107	100	56	69	1551	28
619	33	61	100	33	61	1635	57
620	17	29	100	17	29	398	28
621	25	46	100	25	46	940	55
622	12	19	100	12	19	207	30
623	22	39	100	22	14	157	19
624	17	29	100	17	29	427	65
625	16	27	100	16	27	377	46
626	16	27	100	16	27	377	45
627	15	65	100	15	31	345	70
628	7	9	100	7	9	62	70
629	5	6	100	5	6	30	70
630	53	101	100	53	19	306	22
631	8	11	100	8	11	85	53
