# ksw_extend2 profile v1
# sample_stride	64
# samples_stored	7048
# calls	451066
# total_dp_cells	221984606
# total_rows	11862913
# qlen_bins	<=8 <=16 <=32 <=64 <=96 <=128 <=160 <=192 <=256 <=512 >512
# qlen_counts	47934	57495	216640	128997	0	0	0	0	0	0	0
# tlen_bins	<=16 <=32 <=64 <=128 <=256 <=512 <=1024 <=2048 >2048
# tlen_counts	52569	58080	225082	112993	1963	299	73	7	0
# requested_w_bins	<=4 <=8 <=16 <=32 <=64 <=128 <=256 >256
# requested_w_counts	0	0	0	0	0	451066	0	0
# dp_cell_bins	<=64 <=128 <=256 <=512 <=1024 <=2048 <=4096 <=8192 <=16384 <=32768 >32768
# dp_cell_counts	41415	50883	153430	62827	67581	69520	5410	0	0	0	0
sample_index	qlen	tlen	requested_w	effective_w	rows	dp_cells	max_score
170	8	58	100	8	17	100	60
171	33	343	100	33	67	1618	59
172	21	37	100	21	37	657	63
173	33	61	100	33	61	1603	59
174	4	52	100	4	9	26	61
175	33	578	100	33	67	1618	59
176	15	65	100	15	31	345	70
177	11	17	100	11	17	172	47
178	11	17	100	11	17	172	32
179	27	49	100	27	35	887	48
180	13	63	100	13	27	260	70
181	23	73	100	23	47	805	70
182	15	65	100	15	31	345	70
183	13	21	100	13	21	245	70
184	15	45	100	15	31	345	66
185	36	67	100	36	67	1912	70
186	20	35	100	20	35	570	40
187	4	54	100	4	9	26	71
188	31	65	100	31	63	1457	70
189	35	85	100	35	71	1854	65
190	19	33	100	19	33	536	70
191	34	84	100	34	69	1746	70
192	31	57	100	31	57	1442	60
193	32	59	100	32	51	1430	43
194	16	27	100	16	27	377	46
195	28	78	100	28	57	1190	58
196	30	55	100	30	55	1350	65
197	12	19	100	12	19	207	70
198	7	9	100	7	9	62	70
199	23	41	100	23	41	790	70
200	4	5	100	4	5	20	40
201	4	5	100	4	5	20	40
202	17	50	100	17	35	442	70
203	30	55	100	30	55	1350	69
204	9	59	100	9	19	126	70
205	35	85	100	35	71	1839	65
206	30	55	100	30	55	1350	65
207	29	53	100	29	53	1261	74
208	23	41	100	23	41	790	70
209	15	65	100	15	31	345	70
210	11	17	100	11	17	172	68
211	1	2	100	1	2	2	74
212	54	198	100	54	108	2751	60
213	29	53	100	29	53	1200	54
214	15	65	100	15	31	345	65
215	19	69	100	19	39	551	61
216	17	29	100	17	29	427	70
217	15	65	100	15	31	345	65
218	2	3	100	2	3	6	73
219	40	75	100	40	75	1910	50
220	18	31	100	18	31	480	70
221	5	6	100	5	6	30	70
222	2	3	100	2	3	6	73
223	2	42	100	2	5	7	42
224	32	59	100	32	59	1537	70
225	40	75	100	40	75	1884	55
