strategy	macro_chunk_bytes	micro_chunk_bytes	tail_percent	logical_chunks	stage2_min_s	stage2_mean_s	stage2_max_s	stage2_max_over_mean	cpe_alignment_mean_s	cpe_alignment_max_s	rma_rank_max_s	records	sorted_md5
tail_10_percent	19660800	4915200	10	232	57.850	65.703	71.196	1.084	63.256	68.615	0.229280	30558104	dc5c0a6babd41641db22808caedb7a44
all_4_mib	4194304	0	0	835	71.979	76.775	82.453	1.074	72.081	77.835	0.153259	30558104	-
