dataset	read_mode	status	expected	actual	checked_file
SRR7963242	PE	PASS	a799dc7268f389120ec92820e04b5118	a799dc7268f389120ec92820e04b5118	correctness_results/study_final/has1/normalized_SRR7963242_PE.sam
SRR7963242	SE	PASS	0acfb1f46abd9fed3862c28a33e26da4	0acfb1f46abd9fed3862c28a33e26da4	correctness_results/study_final/has1/normalized_SRR7963242_SE.sam
