variant	dataset	read_mode	region	parent	depth	cycles_avg	cycles_min	cycles_max	instructions_avg	instructions_min	instructions_max	global_loads_avg	global_loads_min	global_loads_max	global_stores_avg	global_stores_min	global_stores_max	dcache_accesses_avg	dcache_accesses_min	dcache_accesses_max	dcache_misses_avg	dcache_misses_min	dcache_misses_max	memory_barrier_wait_cycles_avg	memory_barrier_wait_cycles_min	memory_barrier_wait_cycles_max	instruction_buffer_empty_cycles_avg	instruction_buffer_empty_cycles_min	instruction_buffer_empty_cycles_max	cpi_avg
baseline	SRR7963242	PE	MATE_RESCUE	SAM_FORMAT	2	57000000000	54000000000	60000000000	40000000000	38000000000	42000000000	0	0	0	0	0	0	5189000000	4930000000	5448000000	419000	368000	525000	0	0	0	5090000000	4788000000	5437000000	1.425000
baseline	SRR7963242	PE	PAIRING	SAM_FORMAT	2	376000000	354000000	429000000	88000000	82000000	101000000	0	0	0	0	0	0	16000000	15000000	18000000	33000	29000	46000	0	0	0	210000000	193000000	235000000	4.272727
baseline	SRR7963242	PE	SAM_FORMAT	WORKER_ALIGNMENT	1	61000000000	58000000000	63000000000	41000000000	40000000000	43000000000	0	0	0	0	0	0	5418000000	5166000000	5665000000	635000	577000	757000	0	0	0	6323000000	6085000000	6627000000	1.487805
baseline	SRR7963242	PE	SAM_COPY		0	175000000	163000000	185000000	12000000	11000000	13000000	0	0	0	0	0	0	2310000	2104000	2576000	81000	74000	90000	0	0	0	2273000	2078000	2522000	14.583333
baseline	SRR7963242	PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	12000000000	11000000000	14000000000	6969000000	6442000000	7608000000	0	0	0	0	0	0	371000000	340000000	405000000	11000000	9569000	12000000	0	0	0	2143000000	1960000000	2329000000	1.721911
baseline	SRR7963242	PE	MEM_CHAIN_BUILD	MEM_CHAIN	2	13000000000	12000000000	14000000000	4868000000	4526000000	5299000000	0	0	0	0	0	0	333000000	312000000	358000000	11000000	10000000	12000000	0	0	0	1014000000	955000000	1084000000	2.670501
baseline	SRR7963242	PE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	17000000000	16000000000	19000000000	17000000000	15000000000	19000000000	0	0	0	0	0	0	2420000000	2174000000	2712000000	116000	96000	148000	0	0	0	1256000000	1174000000	1357000000	1.000000
baseline	SRR7963242	PE	MATE_REF_FETCH	MATE_RESCUE	3	324000000	300000000	343000000	217000000	200000000	231000000	0	0	0	0	0	0	33000000	31000000	36000000	39000	36000	47000	0	0	0	34000000	32000000	36000000	1.493088
baseline	SRR7963242	PE	MATE_KSW_ALIGN	MATE_RESCUE	3	35000000000	32000000000	36000000000	28000000000	26000000000	29000000000	0	0	0	0	0	0	3329000000	3044000000	3497000000	134000	111000	187000	0	0	0	1372000000	1269000000	1443000000	1.250000
baseline	SRR7963242	PE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	743000000	683000000	793000000	340000000	313000000	362000000	0	0	0	0	0	0	78000000	72000000	83000000	43000	37000	56000	0	0	0	43000000	40000000	46000000	2.185294
baseline	SRR7963242	PE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	26000000000	24000000000	27000000000	22000000000	20000000000	23000000000	0	0	0	0	0	0	2510000000	2315000000	2646000000	51000	41000	65000	0	0	0	1030000000	954000000	1084000000	1.181818
baseline	SRR7963242	PE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	516000000	470000000	549000000	219000000	199000000	233000000	0	0	0	0	0	0	50000000	45000000	53000000	5257	3588	8803	0	0	0	78000000	73000000	84000000	2.356164
baseline	SRR7963242	PE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	7173000000	6335000000	7681000000	5440000000	4810000000	5822000000	0	0	0	0	0	0	647000000	572000000	693000000	2351	1889	2850	0	0	0	170000000	154000000	182000000	1.318566
baseline_dedup	SRR7963242	PE	WORKER_ALIGNMENT		0	113000000000	112000000000	115000000000	74000000000	73000000000	75000000000	6535	5598	7041	0	0	0	9315000000	9149000000	9655000000	24000000	22000000	26000000	51	0	3283	13000000000	13000000000	13000000000	1.527027
baseline_dedup	SRR7963242	PE	MEM_CHAIN	WORKER_ALIGNMENT	1	25000000000	22000000000	27000000000	12000000000	10000000000	13000000000	0	0	0	0	0	0	712000000	627000000	771000000	22000000	19000000	24000000	0	0	0	3192000000	2763000000	3444000000	2.083333
baseline_dedup	SRR7963242	PE	CHAIN_FILTER	WORKER_ALIGNMENT	1	3812000000	3169000000	4587000000	1659000000	1438000000	1890000000	0	0	0	0	0	0	413000000	358000000	471000000	614000	164000	1502000	0	0	0	468000000	438000000	501000000	2.297770
baseline_dedup	SRR7963242	PE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	22000000000	20000000000	23000000000	18000000000	16000000000	20000000000	0	0	0	0	0	0	2684000000	2373000000	2914000000	702000	631000	891000	0	0	0	2626000000	2495000000	2793000000	1.222222
baseline_dedup	SRR7963242	PE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	1351000000	1224000000	1544000000	703000000	624000000	875000000	0	0	0	0	0	0	110000000	96000000	145000000	1752	1029	3825	0	0	0	269000000	255000000	286000000	1.921764
baseline_dedup	SRR7963242	PE	MATE_RESCUE	SAM_FORMAT	2	57000000000	55000000000	59000000000	40000000000	38000000000	41000000000	0	0	0	0	0	0	5157000000	4937000000	5345000000	403000	353000	480000	0	0	0	5007000000	4701000000	5434000000	1.425000
baseline_dedup	SRR7963242	PE	PAIRING	SAM_FORMAT	2	352000000	329000000	409000000	88000000	83000000	101000000	0	0	0	0	0	0	16000000	15000000	18000000	34000	30000	45000	0	0	0	189000000	170000000	217000000	4.000000
baseline_dedup	SRR7963242	PE	SAM_FORMAT	WORKER_ALIGNMENT	1	60000000000	58000000000	62000000000	41000000000	39000000000	43000000000	0	0	0	0	0	0	5388000000	5179000000	5568000000	619000	556000	699000	0	0	0	6221000000	5904000000	6550000000	1.463415
baseline_dedup	SRR7963242	PE	SAM_COPY		0	176000000	159000000	184000000	12000000	10000000	13000000	0	0	0	0	0	0	2326000	1984000	2506000	82000	70000	89000	0	0	0	2298000	1973000	2479000	14.666667
baseline_dedup	SRR7963242	PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	13000000000	11000000000	14000000000	7032000000	6010000000	7673000000	0	0	0	0	0	0	374000000	320000000	409000000	11000000	9036000	12000000	0	0	0	2134000000	1817000000	2314000000	1.848692
baseline_dedup	SRR7963242	PE	MEM_CHAIN_BUILD	MEM_CHAIN	2	13000000000	11000000000	14000000000	4888000000	4389000000	5341000000	0	0	0	0	0	0	334000000	304000000	358000000	11000000	9653000	12000000	0	0	0	969000000	871000000	1035000000	2.659574
