variant	dataset	read_mode	region	parent	depth	cycles_avg	cycles_min	cycles_max	instructions_avg	instructions_min	instructions_max	global_loads_avg	global_loads_min	global_loads_max	global_stores_avg	global_stores_min	global_stores_max	dcache_accesses_avg	dcache_accesses_min	dcache_accesses_max	dcache_misses_avg	dcache_misses_min	dcache_misses_max	memory_barrier_wait_cycles_avg	memory_barrier_wait_cycles_min	memory_barrier_wait_cycles_max	instruction_buffer_empty_cycles_avg	instruction_buffer_empty_cycles_min	instruction_buffer_empty_cycles_max	cpi_avg
optimized	SRR2496709	PE	SAM_COPY		0	140000000	133000000	144000000	10000000	9284000	11000000	0	0	0	0	0	0	1890000	1752000	2003000	64000	59000	67000	0	0	0	1948000	1806000	2049000	14.000000
optimized	SRR2496709	PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	7380000000	6941000000	7704000000	3265000000	3048000000	3424000000	0	0	0	0	0	0	167000000	156000000	175000000	5507000	5146000	5758000	0	0	0	1759000000	1658000000	1829000000	2.260337
optimized	SRR2496709	PE	MEM_CHAIN_BUILD	MEM_CHAIN	2	3959000000	3746000000	4148000000	1332000000	1242000000	1412000000	0	0	0	0	0	0	81000000	77000000	86000000	2764000	2590000	2914000	0	0	0	398000000	375000000	415000000	2.972222
optimized	SRR2496709	PE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	2451000000	2183000000	2840000000	2056000000	1815000000	2441000000	0	0	0	0	0	0	299000000	264000000	353000000	35000	32000	42000	0	0	0	357000000	327000000	385000000	1.192121
optimized	SRR2496709	PE	MATE_REF_FETCH	MATE_RESCUE	3	60000000	53000000	67000000	39000000	34000000	44000000	0	0	0	0	0	0	5976000	5142000	6734000	7842	6856	9605	0	0	0	6851000	6231000	7435000	1.538462
optimized	SRR2496709	PE	MATE_KSW_ALIGN	MATE_RESCUE	3	4018000000	3529000000	4513000000	3211000000	2805000000	3614000000	0	0	0	0	0	0	370000000	324000000	417000000	40000	36000	48000	0	0	0	233000000	208000000	257000000	1.251324
optimized	SRR2496709	PE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	120000000	106000000	134000000	47000000	40000000	53000000	0	0	0	0	0	0	10000000	8997000	12000000	14000	13000	17000	0	0	0	19000000	16000000	20000000	2.553191
optimized	SRR2496709	PE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	3224000000	2814000000	3637000000	2703000000	2349000000	3051000000	0	0	0	0	0	0	300000000	261000000	339000000	13000	11000	15000	0	0	0	170000000	150000000	189000000	1.192749
optimized	SRR2496709	PE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	63000000	55000000	71000000	25000000	22000000	28000000	0	0	0	0	0	0	5568000	4814000	6333000	2566	2002	3174	0	0	0	12000000	11000000	14000000	2.520000
optimized	SRR2496709	PE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	566000000	479000000	654000000	423000000	357000000	488000000	0	0	0	0	0	0	49000000	42000000	57000000	1665	1398	1974	0	0	0	21000000	18000000	24000000	1.338061
optimized	SRR2496709	PE	MATE_DEDUP	MATE_RESCUE	3	1863000000	1268000000	2566000000	974000000	645000000	1358000000	0	0	0	0	0	0	152000000	102000000	211000000	1180	274	13000	0	0	0	304000000	209000000	409000000	1.912731
optimized	SRR7963242	PE	WORKER_ALIGNMENT		0	111000000000	110000000000	113000000000	73000000000	72000000000	74000000000	6527	5863	7171	0	0	0	9158000000	8985000000	9400000000	24000000	21000000	26000000	52	0	3302	13000000000	12000000000	13000000000	1.520548
optimized	SRR7963242	PE	MEM_CHAIN	WORKER_ALIGNMENT	1	25000000000	23000000000	27000000000	12000000000	11000000000	13000000000	0	0	0	0	0	0	709000000	664000000	768000000	22000000	19000000	24000000	0	0	0	2980000000	2777000000	3238000000	2.083333
optimized	SRR7963242	PE	CHAIN_FILTER	WORKER_ALIGNMENT	1	3861000000	3254000000	4717000000	1662000000	1449000000	1866000000	0	0	0	0	0	0	414000000	360000000	465000000	656000	201000	1744000	0	0	0	487000000	465000000	521000000	2.323105
optimized	SRR7963242	PE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	22000000000	21000000000	24000000000	18000000000	17000000000	20000000000	0	0	0	0	0	0	2691000000	2460000000	2933000000	711000	647000	1007000	0	0	0	2911000000	2764000000	3108000000	1.222222
optimized	SRR7963242	PE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	1355000000	1260000000	1555000000	710000000	647000000	883000000	0	0	0	0	0	0	111000000	100000000	146000000	1915	1105	9046	0	0	0	267000000	254000000	280000000	1.908451
optimized	SRR7963242	PE	MATE_RESCUE	SAM_FORMAT	2	55000000000	52000000000	57000000000	39000000000	38000000000	40000000000	0	0	0	0	0	0	4995000000	4788000000	5172000000	407000	353000	631000	0	0	0	4646000000	4217000000	5009000000	1.410256
optimized	SRR7963242	PE	PAIRING	SAM_FORMAT	2	341000000	321000000	384000000	88000000	83000000	97000000	0	0	0	0	0	0	16000000	15000000	17000000	34000	31000	45000	0	0	0	173000000	160000000	194000000	3.875000
optimized	SRR7963242	PE	SAM_FORMAT	WORKER_ALIGNMENT	1	58000000000	56000000000	60000000000	40000000000	39000000000	41000000000	0	0	0	0	0	0	5225000000	5036000000	5399000000	632000	571000	890000	0	0	0	5887000000	5588000000	6158000000	1.450000
optimized	SRR7963242	PE	SAM_COPY		0	176000000	163000000	186000000	12000000	11000000	13000000	0	0	0	0	0	0	2323000	2092000	2561000	82000	74000	90000	0	0	0	2296000	2065000	2519000	14.666667
optimized	SRR7963242	PE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	12000000000	11000000000	14000000000	7003000000	6477000000	7646000000	0	0	0	0	0	0	372000000	343000000	409000000	11000000	9393000	12000000	0	0	0	1950000000	1791000000	2150000000	1.713551
optimized	SRR7963242	PE	MEM_CHAIN_BUILD	MEM_CHAIN	2	13000000000	12000000000	13000000000	4863000000	4554000000	5361000000	0	0	0	0	0	0	333000000	315000000	356000000	11000000	9854000	12000000	0	0	0	933000000	880000000	1007000000	2.673247
optimized	SRR7963242	PE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	18000000000	16000000000	19000000000	17000000000	15000000000	19000000000	0	0	0	0	0	0	2449000000	2223000000	2685000000	119000	101000	147000	0	0	0	1219000000	1146000000	1321000000	1.058824
optimized	SRR7963242	PE	MATE_REF_FETCH	MATE_RESCUE	3	319000000	295000000	336000000	216000000	200000000	228000000	0	0	0	0	0	0	33000000	31000000	35000000	40000	37000	47000	0	0	0	31000000	29000000	33000000	1.476852
optimized	SRR7963242	PE	MATE_KSW_ALIGN	MATE_RESCUE	3	35000000000	33000000000	37000000000	28000000000	26000000000	30000000000	0	0	0	0	0	0	3323000000	3131000000	3570000000	127000	106000	195000	0	0	0	1388000000	1298000000	1497000000	1.250000
optimized	SRR7963242	PE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	779000000	719000000	819000000	339000000	314000000	357000000	0	0	0	0	0	0	78000000	72000000	82000000	43000	36000	65000	0	0	0	80000000	73000000	86000000	2.297935
optimized	SRR7963242	PE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	26000000000	24000000000	28000000000	22000000000	20000000000	23000000000	0	0	0	0	0	0	2503000000	2338000000	2665000000	46000	39000	68000	0	0	0	1038000000	973000000	1119000000	1.181818
optimized	SRR7963242	PE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	508000000	474000000	550000000	219000000	204000000	236000000	0	0	0	0	0	0	50000000	46000000	54000000	5069	3992	9083	0	0	0	70000000	65000000	78000000	2.319635
optimized	SRR7963242	PE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	7174000000	6520000000	7988000000	5447000000	4952000000	6060000000	0	0	0	0	0	0	648000000	589000000	721000000	2325	1868	3143	0	0	0	162000000	149000000	177000000	1.317055
optimized	SRR7963242	PE	MATE_DEDUP	MATE_RESCUE	3	19000000000	16000000000	22000000000	10000000000	8473000000	12000000000	0	0	0	0	0	0	1583000000	1315000000	1836000000	10000	2954	114000	0	0	0	2949000000	2470000000	3373000000	1.900000
optimized	SRR7963242	SE	WORKER_ALIGNMENT		0	26000000000	26000000000	27000000000	15000000000	14000000000	15000000000	6458	5796	6953	0	0	0	1732000000	1615000000	1865000000	11000000	10000000	11000000	50	0	3200	4307000000	4124000000	4450000000	1.733333
optimized	SRR7963242	SE	MEM_CHAIN	WORKER_ALIGNMENT	1	13000000000	12000000000	14000000000	5517000000	5137000000	5975000000	0	0	0	0	0	0	325000000	304000000	351000000	10000000	9382000	11000000	0	0	0	1629000000	1519000000	1743000000	2.356353
optimized	SRR7963242	SE	CHAIN_FILTER	WORKER_ALIGNMENT	1	1726000000	1463000000	2186000000	743000000	596000000	900000000	0	0	0	0	0	0	185000000	148000000	224000000	178000	63000	552000	0	0	0	252000000	225000000	271000000	2.323015
optimized	SRR7963242	SE	CHAIN_EXTENSION	WORKER_ALIGNMENT	1	9327000000	8444000000	10000000000	7395000000	6493000000	8490000000	0	0	0	0	0	0	1084000000	956000000	1240000000	308000	276000	366000	0	0	0	1536000000	1454000000	1611000000	1.261258
optimized	SRR7963242	SE	ALIGNMENT_FINALIZE	WORKER_ALIGNMENT	1	587000000	519000000	635000000	291000000	252000000	321000000	0	0	0	0	0	0	45000000	39000000	51000000	603	399	1056	0	0	0	132000000	125000000	139000000	2.017182
optimized	SRR7963242	SE	MATE_RESCUE	SAM_FORMAT	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	PAIRING	SAM_FORMAT	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	SAM_FORMAT	WORKER_ALIGNMENT	1	1475000000	1363000000	1577000000	537000000	497000000	574000000	0	0	0	0	0	0	89000000	83000000	95000000	107000	99000	117000	0	0	0	681000000	618000000	732000000	2.746741
optimized	SRR7963242	SE	SAM_COPY		0	103000000	95000000	108000000	6118000	5468000	6615000	0	0	0	0	0	0	1168000	1045000	1263000	53000	47000	57000	0	0	0	1267000	1154000	1361000	16.835567
optimized	SRR7963242	SE	MEM_CHAIN_COLLECT	MEM_CHAIN	2	6417000000	5878000000	6952000000	3299000000	2998000000	3633000000	0	0	0	0	0	0	173000000	156000000	193000000	4987000	4565000	5327000	0	0	0	1082000000	992000000	1172000000	1.945135
optimized	SRR7963242	SE	MEM_CHAIN_BUILD	MEM_CHAIN	2	6530000000	6180000000	6971000000	2200000000	2082000000	2389000000	0	0	0	0	0	0	150000000	143000000	161000000	5123000	4746000	5434000	0	0	0	499000000	473000000	536000000	2.968182
optimized	SRR7963242	SE	CHAIN_EXTENSION_DP	CHAIN_EXTENSION	2	7139000000	6289000000	8188000000	6756000000	5864000000	7865000000	0	0	0	0	0	0	980000000	853000000	1138000000	55000	48000	77000	0	0	0	569000000	527000000	607000000	1.056690
optimized	SRR7963242	SE	MATE_REF_FETCH	MATE_RESCUE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	MATE_KSW_ALIGN	MATE_RESCUE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	KSW_QUERY_INIT_FORWARD	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	KSW_DP_FORWARD	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	KSW_QUERY_INIT_REVERSE	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	KSW_DP_REVERSE	MATE_KSW_ALIGN	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
optimized	SRR7963242	SE	MATE_DEDUP	MATE_RESCUE	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	nan
