log	dataset	read_mode	repeat	ranks	calls	bytes	hash_sum	hash_xor	hash_enabled	claimed_chunks_range	stage1_range	stage2_range	stage2_max_min	part3_range	part3_max_min	scheduler_rma_range	fread_bandwidth_range	slowest_chunk	slowest_chunk_seconds	parsed_chunks	claimed_chunks	chunk_details_complete	rank_details_complete
ERR1203383_PE.run01.log	ERR1203383	PE	1	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	37-40	27.618-30.299	56.353-69.967	1.242	53.841-67.519	1.254	0.785014-0.981573	46.670-49.922	229	12.186040	229	232	0	0
ERR1203383_PE.run02.log	ERR1203383	PE	2	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	37-41	27.483-29.062	56.505-69.905	1.237	53.993-67.434	1.249	0.798257-1.158450	45.064-50.537	229	12.178719	228	232	0	0
ERR1203383_PE.run03.log	ERR1203383	PE	3	6	30549360	8029871401	dae1072cac7f170d	1fe63f8e1e740aaf	1	37-41	24.846-26.866	56.332-69.885	1.241	53.882-67.450	1.252	0.828406-0.994728	49.995-53.540	229	12.200566	229	232	0	0
SRR2496709_PE.run01.log	SRR2496709	PE	1	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	31-43	28.674-33.504	58.176-65.214	1.121	55.372-62.961	1.137	0.712632-1.106352	42.978-49.039	100	9.405718	232	237	0	0
SRR2496709_PE.run02.log	SRR2496709	PE	2	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	35-44	23.999-31.040	60.152-67.745	1.126	57.584-65.204	1.132	0.807427-0.973279	40.420-51.371	100	9.470594	232	237	0	0
SRR2496709_PE.run03.log	SRR2496709	PE	3	6	25214822	8119600200	56efd396c8f85a1e	9edd66de273acc48	1	32-42	30.013-33.431	60.326-65.283	1.082	57.667-62.832	1.090	0.783073-1.043565	40.354-45.138	100	9.442312	233	237	0	0
