variant	dataset	runs	stage2_median	stage2_delta_pct	part3_median	part3_delta_pct	worker_median	worker_delta_pct	mate_ksw_median	mate_ksw_delta_pct	ksw_dp_forward_median	ksw_dp_forward_delta_pct	chain_build_median	chain_build_delta_pct	chain_sa_median	chain_sa_delta_pct	chain_rid_median	chain_rid_delta_pct
baseline	ERR1203383	3	3.811000	+0.000	3.450000	+0.000	7.159000	+0.000	0.938000	+0.000	0.762000	+0.000	1.460000	+0.000	0.987000	+0.000	0.105000	+0.000
baseline	SRR7963242	3	46.735000	+0.000	45.751000	+0.000	96.000000	+0.000	32.000000	+0.000	24.000000	+0.000	13.000000	+0.000	9.286000	+0.000	0.812000	+0.000
ksw_only	ERR1203383	3	3.895000	+2.204	3.530000	+2.319	7.343000	+2.570	0.823000	-12.260	0.621000	-18.504	1.573000	+7.740	0.976000	-1.114	0.106000	+0.952
ksw_only	SRR7963242	3	45.675000	-2.268	44.710000	-2.275	94.000000	-2.083	29.000000	-9.375	20.000000	-16.667	13.000000	+0.000	9.280000	-0.065	0.813000	+0.123
bwt_chain_only	ERR1203383	3	4.017000	+5.405	3.650000	+5.797	7.614000	+6.356	0.922000	-1.706	0.749000	-1.706	1.576000	+7.945	0.980000	-0.709	0.099000	-5.714
bwt_chain_only	SRR7963242	3	47.012000	+0.593	46.041000	+0.634	97.000000	+1.042	32.000000	+0.000	24.000000	+0.000	13.000000	+0.000	9.439000	+1.648	0.790000	-2.709
combined	ERR1203383	3	3.789000	-0.577	3.470000	+0.580	7.205000	+0.643	0.804000	-14.286	0.603000	-20.866	1.540000	+5.479	1.015000	+2.837	0.097000	-7.619
combined	SRR7963242	3	45.341000	-2.983	44.460000	-2.822	93.000000	-3.125	28.000000	-12.500	19.000000	-20.833	14.000000	+7.692	9.488000	+2.175	0.786000	-3.202
