variant	lines	bytes	md5	status
baseline	2000259	523048834	c2af4bf0b057d5125ce2a9d770f13741	PASS
ksw_only	2000259	523048834	c2af4bf0b057d5125ce2a9d770f13741	PASS
bwt_chain_only	2000259	523048834	c2af4bf0b057d5125ce2a9d770f13741	PASS
combined	2000259	523048834	c2af4bf0b057d5125ce2a9d770f13741	PASS
