cfg	dataset	mode	kernel	new_cyc	share_of_new_total_pct
single	small_SRR7963242	PE	CHAIN_BUILD_INSERT	5.400e+10	2.6
single	small_SRR7963242	PE	CHAIN_BUILD_FINALIZE	9.511e+09	0.5
single	small_SRR7963242	SE	WORKER_ALIGNMENT	5.480e+11	99.5
single	small_SRR7963242	SE	MEM_CHAIN	2.860e+11	51.9
single	small_SRR7963242	SE	CHAIN_FILTER	3.900e+10	7.1
single	small_SRR7963242	SE	CHAIN_EXTENSION	1.790e+11	32.5
single	small_SRR7963242	SE	ALIGNMENT_FINALIZE	1.400e+10	2.5
single	small_SRR7963242	SE	MATE_RESCUE	0.000e+00	0.0
single	small_SRR7963242	SE	PAIRING	0.000e+00	0.0
single	small_SRR7963242	SE	SAM_FORMAT	2.800e+10	5.1
single	small_SRR7963242	SE	SAM_COPY	2.553e+09	0.5
single	small_SRR7963242	SE	MEM_CHAIN_COLLECT	1.290e+11	23.4
single	small_SRR7963242	SE	MEM_CHAIN_BUILD	1.550e+11	28.2
single	small_SRR7963242	SE	CHAIN_EXTENSION_DP	1.510e+11	27.4
single	small_SRR7963242	SE	MATE_REF_FETCH	0.000e+00	0.0
single	small_SRR7963242	SE	MATE_KSW_ALIGN	0.000e+00	0.0
single	small_SRR7963242	SE	KSW_QUERY_INIT_FORWARD	0.000e+00	0.0
single	small_SRR7963242	SE	KSW_DP_FORWARD	0.000e+00	0.0
single	small_SRR7963242	SE	KSW_QUERY_INIT_REVERSE	0.000e+00	0.0
single	small_SRR7963242	SE	KSW_DP_REVERSE	0.000e+00	0.0
single	small_SRR7963242	SE	MATE_DEDUP	0.000e+00	0.0
single	small_SRR7963242	SE	DEDUP_SORT_END	0.000e+00	0.0
single	small_SRR7963242	SE	DEDUP_REDUNDANCY	0.000e+00	0.0
single	small_SRR7963242	SE	DEDUP_SORT_SCORE	0.000e+00	0.0
single	small_SRR7963242	SE	MEM_COLLECT_FIRST	4.600e+10	8.4
single	small_SRR7963242	SE	MEM_COLLECT_SPLIT	4.900e+10	8.9
single	small_SRR7963242	SE	MEM_COLLECT_LAST	3.000e+10	5.4
single	small_SRR7963242	SE	MEM_COLLECT_SORT	2.968e+09	0.5
single	small_SRR7963242	SE	CHAIN_BUILD_REPETITIVE	2.340e+08	0.0
single	small_SRR7963242	SE	CHAIN_BUILD_SA	1.050e+11	19.1
single	small_SRR7963242	SE	CHAIN_BUILD_RID	8.789e+09	1.6
single	small_SRR7963242	SE	CHAIN_BUILD_TREE_SEARCH	4.116e+09	0.7
single	small_SRR7963242	SE	CHAIN_BUILD_MERGE	1.225e+09	0.2
single	small_SRR7963242	SE	CHAIN_BUILD_INSERT	2.800e+10	5.1
single	small_SRR7963242	SE	CHAIN_BUILD_FINALIZE	4.853e+09	0.9
