cfg	dataset	mode	kernel	old_cyc	new_cyc	d_pct	share_of_new_total_pct
single	ERR1203383	SE	CHAIN_EXTENSION	3.500e+10	3.200e+10	-8.6	12.3
single	ERR1203383	SE	ALIGNMENT_FINALIZE	1.500e+10	5.827e+09	-61.2	2.2
single	ERR1203383	SE	MATE_RESCUE	0.000e+00	0.000e+00	+nan	0.0
single	ERR1203383	SE	PAIRING	0.000e+00	0.000e+00	+nan	0.0
single	ERR1203383	SE	SAM_FORMAT	2.700e+10	2.700e+10	+0.0	10.4
single	ERR1203383	SE	SAM_COPY	3.275e+09	3.284e+09	+0.3	1.3
single	SRR2496709	PE	WORKER_ALIGNMENT	8.390e+11	6.660e+11	-20.6	99.2
single	SRR2496709	PE	MEM_CHAIN	3.730e+11	3.420e+11	-8.3	50.9
single	SRR2496709	PE	CHAIN_FILTER	2.400e+10	2.000e+10	-16.7	3.0
single	SRR2496709	PE	CHAIN_EXTENSION	9.800e+10	9.200e+10	-6.1	13.7
single	SRR2496709	PE	ALIGNMENT_FINALIZE	2.100e+10	9.452e+09	-55.0	1.4
single	SRR2496709	PE	MATE_RESCUE	2.560e+11	1.430e+11	-44.1	21.3
single	SRR2496709	PE	PAIRING	5.709e+09	4.715e+09	-17.4	0.7
single	SRR2496709	PE	SAM_FORMAT	3.120e+11	1.980e+11	-36.5	29.5
single	SRR2496709	PE	SAM_COPY	5.589e+09	5.659e+09	+1.3	0.8
single	SRR2496709	SE	WORKER_ALIGNMENT	2.900e+11	2.610e+11	-10.0	98.8
single	SRR2496709	SE	MEM_CHAIN	1.880e+11	1.740e+11	-7.4	65.9
single	SRR2496709	SE	CHAIN_FILTER	1.100e+10	9.760e+09	-11.3	3.7
single	SRR2496709	SE	CHAIN_EXTENSION	4.600e+10	4.300e+10	-6.5	16.3
single	SRR2496709	SE	ALIGNMENT_FINALIZE	1.100e+10	4.720e+09	-57.1	1.8
single	SRR2496709	SE	MATE_RESCUE	0.000e+00	0.000e+00	+nan	0.0
single	SRR2496709	SE	PAIRING	0.000e+00	0.000e+00	+nan	0.0
single	SRR2496709	SE	SAM_FORMAT	2.600e+10	2.600e+10	+0.0	9.8
