cfg	dataset	mode	variant	kernel	cycle_avg
cross	SRR2496709	PE	new_p	SAM_FORMAT	36000000000
cross	SRR2496709	PE	new_p	SAM_COPY	1321000000
cross	SRR2496709	PE	new_p	MEM_CHAIN_COLLECT	37000000000
cross	SRR2496709	PE	new_p	MEM_CHAIN_BUILD	24000000000
cross	SRR2496709	PE	new_p	CHAIN_EXTENSION_DP	11000000000
cross	SRR2496709	PE	new_p	MATE_REF_FETCH	366000000
cross	SRR2496709	PE	new_p	MATE_KSW_ALIGN	18000000000
cross	SRR2496709	PE	new_p	KSW_QUERY_INIT_FORWARD	618000000
cross	SRR2496709	PE	new_p	KSW_DP_FORWARD	15000000000
cross	SRR2496709	PE	new_p	KSW_QUERY_INIT_REVERSE	246000000
cross	SRR2496709	PE	new_p	KSW_DP_REVERSE	2046000000
cross	SRR2496709	PE	new_p	MATE_DEDUP	4001000000
cross	SRR2496709	PE	new_p	DEDUP_SORT_END	1415000000
cross	SRR2496709	PE	new_p	DEDUP_REDUNDANCY	348000000
cross	SRR2496709	PE	new_p	DEDUP_SORT_SCORE	2145000000
cross	SRR2496709	PE	new_p	MEM_COLLECT_FIRST	15000000000
cross	SRR2496709	PE	new_p	MEM_COLLECT_SPLIT	10000000000
cross	SRR2496709	PE	new_p	MEM_COLLECT_LAST	9705000000
cross	SRR2496709	PE	new_p	MEM_COLLECT_SORT	2380000000
cross	SRR2496709	PE	new_p	CHAIN_BUILD_REPETITIVE	58000000
cross	SRR2496709	PE	new_p	CHAIN_BUILD_SA	17000000000
cross	SRR2496709	PE	new_p	CHAIN_BUILD_RID	1465000000
cross	SRR2496709	PE	new_p	CHAIN_BUILD_TREE_SEARCH	351000000
cross	SRR2496709	PE	new_p	CHAIN_BUILD_MERGE	149000000
cross	SRR2496709	PE	new_p	CHAIN_BUILD_INSERT	1264000000
cross	SRR2496709	PE	new_p	CHAIN_BUILD_FINALIZE	2763000000
cross	SRR2496709	PE	old_p	WORKER_ALIGNMENT	139000000000
cross	SRR2496709	PE	old_p	MEM_CHAIN	68000000000
